Onset,Offset
738.3,738.334
739.2,739.234
739.4,739.434
739.9,739.967
740.234,740.3
740.367,740.434
740.634,740.667
740.834,740.967
741.067,741.134
741.234,741.334
742.267,742.434
742.967,743.0
743.2,743.267
743.367,743.667
743.8,743.967
744.034,744.067
744.434,744.5
744.834,744.867
744.934,745.134
745.5,745.567
746.067,746.434
747.467,747.5
748.667,748.7
749.567,749.6
752.267,752.3
752.734,752.767
753.834,753.867
754.8,754.834
756.534,756.567
757.467,757.5
757.967,758.0
758.934,758.967
761.467,761.5
761.567,761.6
761.734,761.767
761.834,761.867
762.067,762.134
762.4,762.434
763.2,763.234
763.3,763.367
763.567,763.7
764.067,764.167
764.734,764.834
764.967,765.034
765.2,765.4
765.934,766.0
766.867,766.967
767.1,767.134
767.867,767.934
768.3,768.334
769.634,769.7
771.367,771.5
771.567,771.9
772.2,772.534
773.934,774.034
774.834,775.034
775.167,775.334
775.4,775.634
775.8,775.967
776.067,776.234
776.5,776.534
777.167,777.2
777.267,777.3
777.567,777.667
778.4,778.467
779.167,779.267
779.4,779.434
780.2,780.234
780.734,780.767
781.9,781.934
782.0,782.267
782.367,782.9
782.967,783.267
783.334,783.5
784.067,784.2
784.3,784.467
784.6,784.734
784.9,784.934
785.434,785.5
785.6,785.667
785.734,785.9
785.967,786.034
786.167,786.334
786.434,786.467
786.667,786.734
786.967,787.067
787.734,787.767
787.834,787.934
788.1,788.134
