record started at: 07-05-18 04:47:25

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 1280x720
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
94 94 29.99 0:00:00:03.134/1000 0:00:00:03.100/1000 715.63 341.15 281.31 228.58 -1000.00 -1000.00 65.00 25.00 
95 95 30.00 0:00:00:03.167/1000 0:00:00:03.134/1000 715.56 335.90 281.25 227.59 -1000.00 -1000.00 67.00 29.00 
96 95 30.00 0:00:00:03.200/1000 0:00:00:03.167/1000 714.77 333.00 281.38 227.07 -1000.00 -1000.00 66.00 26.00 
97 97 29.99 0:00:00:03.234/1000 0:00:00:03.200/1000 713.07 331.74 281.73 226.89 -1000.00 -1000.00 54.00 27.00 
98 98 30.00 0:00:00:03.267/1000 0:00:00:03.234/1000 714.34 326.82 281.38 225.92 -1000.00 -1000.00 56.00 34.00 
99 98 30.00 0:00:00:03.300/1000 0:00:00:03.267/1000 716.35 322.40 280.88 225.01 -1000.00 -1000.00 53.00 33.00 
100 100 29.99 0:00:00:03.334/1000 0:00:00:03.300/1000 715.42 322.45 281.09 225.05 -1000.00 -1000.00 51.00 30.00 
101 101 30.00 0:00:00:03.367/1000 0:00:00:03.334/1000 713.52 319.66 281.46 224.59 -1000.00 -1000.00 51.00 35.00 
102 101 30.00 0:00:00:03.400/1000 0:00:00:03.367/1000 712.11 315.47 281.70 223.84 -1000.00 -1000.00 51.00 34.00 
103 103 29.99 0:00:00:03.434/1000 0:00:00:03.400/1000 710.64 315.23 282.01 223.85 -1000.00 -1000.00 50.00 26.00 
104 104 30.00 0:00:00:03.467/1000 0:00:00:03.434/1000 708.80 315.71 282.41 224.01 -1000.00 -1000.00 50.00 24.00 
105 104 30.00 0:00:00:03.500/1000 0:00:00:03.467/1000 707.68 316.59 282.66 224.22 -1000.00 -1000.00 49.00 24.00 
106 106 29.99 0:00:00:03.534/1000 0:00:00:03.500/1000 707.35 318.20 282.76 224.54 -1000.00 -1000.00 49.00 25.00 
107 107 30.00 0:00:00:03.567/1000 0:00:00:03.534/1000 709.17 316.27 282.34 224.11 -1000.00 -1000.00 50.00 33.00 
108 107 30.00 0:00:00:03.600/1000 0:00:00:03.567/1000 712.57 313.94 281.58 223.53 -1000.00 -1000.00 50.00 32.00 
109 109 29.99 0:00:00:03.634/1000 0:00:00:03.600/1000 713.97 314.30 281.28 223.55 -1000.00 -1000.00 50.00 34.00 
110 110 30.00 0:00:00:03.667/1000 0:00:00:03.634/1000 715.00 317.11 281.10 224.05 -1000.00 -1000.00 48.00 26.00 
111 110 30.00 0:00:00:03.700/1000 0:00:00:03.667/1000 716.52 316.50 280.76 223.87 -1000.00 -1000.00 48.00 33.00 
112 112 29.99 0:00:00:03.734/1000 0:00:00:03.700/1000 717.12 311.20 280.55 222.83 -1000.00 -1000.00 46.00 32.00 
113 113 30.00 0:00:00:03.767/1000 0:00:00:03.734/1000 716.62 308.04 280.61 222.25 -1000.00 -1000.00 47.00 31.00 
114 113 30.00 0:00:00:03.800/1000 0:00:00:03.767/1000 714.94 307.83 280.98 222.27 -1000.00 -1000.00 46.00 31.00 
115 115 29.99 0:00:00:03.834/1000 0:00:00:03.800/1000 712.74 308.94 281.47 222.57 -1000.00 -1000.00 46.00 30.00 
116 116 30.00 0:00:00:03.867/1000 0:00:00:03.834/1000 710.93 309.51 281.87 222.75 -1000.00 -1000.00 45.00 30.00 
117 116 30.00 0:00:00:03.900/1000 0:00:00:03.867/1000 708.64 309.94 282.37 222.92 -1000.00 -1000.00 45.00 29.00 
118 118 29.99 0:00:00:03.934/1000 0:00:00:03.900/1000 705.84 314.02 283.02 223.80 -1000.00 -1000.00 45.00 24.00 
119 119 30.00 0:00:00:03.967/1000 0:00:00:03.934/1000 703.38 318.08 283.59 224.66 -1000.00 -1000.00 45.00 24.00 
120 119 30.00 0:00:00:04.00/1000 0:00:00:03.967/1000 701.87 319.03 283.92 224.89 -1000.00 -1000.00 49.00 24.00 
121 121 30.00 0:00:00:04.34/1000 0:00:00:04.00/1000 704.26 295.43 283.10 220.34 -1000.00 -1000.00 41.00 34.00 
122 122 30.00 0:00:00:04.67/1000 0:00:00:04.34/1000 709.75 273.93 281.62 215.94 -1000.00 -1000.00 42.00 34.00 
123 122 30.00 0:00:00:04.100/1000 0:00:00:04.67/1000 712.87 277.41 280.99 216.47 -1000.00 -1000.00 42.00 34.00 
124 124 30.00 0:00:00:04.134/1000 0:00:00:04.100/1000 714.19 280.61 280.74 217.03 -1000.00 -1000.00 43.00 34.00 
125 125 30.00 0:00:00:04.167/1000 0:00:00:04.134/1000 715.76 284.64 280.46 217.74 -1000.00 -1000.00 42.00 33.00 
126 125 30.00 0:00:00:04.200/1000 0:00:00:04.167/1000 717.17 288.93 280.21 218.51 -1000.00 -1000.00 43.00 33.00 
127 127 30.00 0:00:00:04.234/1000 0:00:00:04.200/1000 718.37 291.85 279.99 219.03 -1000.00 -1000.00 43.00 32.00 
128 128 30.00 0:00:00:04.267/1000 0:00:00:04.234/1000 719.01 293.15 279.86 219.25 -1000.00 -1000.00 43.00 33.00 
129 128 30.00 0:00:00:04.300/1000 0:00:00:04.267/1000 719.44 293.90 279.78 219.38 -1000.00 -1000.00 44.00 33.00 
130 130 30.00 0:00:00:04.334/1000 0:00:00:04.300/1000 719.94 294.93 279.68 219.56 -1000.00 -1000.00 42.00 32.00 
131 131 30.00 0:00:00:04.367/1000 0:00:00:04.334/1000 721.02 296.00 279.46 219.72 -1000.00 -1000.00 43.00 32.00 
132 131 30.00 0:00:00:04.400/1000 0:00:00:04.367/1000 722.22 296.36 279.20 219.74 -1000.00 -1000.00 43.00 31.00 
133 133 30.00 0:00:00:04.434/1000 0:00:00:04.400/1000 723.57 296.96 278.90 219.79 -1000.00 -1000.00 43.00 32.00 
134 134 30.00 0:00:00:04.467/1000 0:00:00:04.434/1000 724.60 296.93 278.67 219.74 -1000.00 -1000.00 43.00 31.00 
135 134 30.00 0:00:00:04.500/1000 0:00:00:04.467/1000 724.93 297.04 278.60 219.75 -1000.00 -1000.00 44.00 33.00 
136 136 30.00 0:00:00:04.534/1000 0:00:00:04.500/1000 725.14 298.94 278.58 220.11 -1000.00 -1000.00 42.00 32.00 
137 137 30.00 0:00:00:04.567/1000 0:00:00:04.534/1000 723.90 300.00 278.88 220.38 -1000.00 -1000.00 43.00 33.00 
138 137 30.00 0:00:00:04.600/1000 0:00:00:04.567/1000 723.45 299.84 278.97 220.36 -1000.00 -1000.00 44.00 33.00 
139 139 30.00 0:00:00:04.634/1000 0:00:00:04.600/1000 725.07 300.82 278.63 220.48 -1000.00 -1000.00 44.00 33.00 
140 140 30.00 0:00:00:04.667/1000 0:00:00:04.634/1000 726.47 301.39 278.32 220.53 -1000.00 -1000.00 45.00 34.00 
141 140 30.00 0:00:00:04.700/1000 0:00:00:04.667/1000 727.32 299.99 278.10 220.22 -1000.00 -1000.00 44.00 35.00 
142 142 30.00 0:00:00:04.734/1000 0:00:00:04.700/1000 727.88 297.77 277.94 219.76 -1000.00 -1000.00 46.00 34.00 
143 143 30.00 0:00:00:04.767/1000 0:00:00:04.734/1000 728.01 295.45 277.87 219.29 -1000.00 -1000.00 46.00 34.00 
144 143 30.00 0:00:00:04.800/1000 0:00:00:04.767/1000 728.38 292.57 277.74 218.70 -1000.00 -1000.00 47.00 33.00 
145 145 30.00 0:00:00:04.834/1000 0:00:00:04.800/1000 728.04 289.90 277.78 218.19 -1000.00 -1000.00 46.00 34.00 
146 146 30.00 0:00:00:04.867/1000 0:00:00:04.834/1000 727.55 287.49 277.85 217.74 -1000.00 -1000.00 47.00 35.00 
147 146 30.00 0:00:00:04.900/1000 0:00:00:04.867/1000 728.13 284.41 277.67 217.09 -1000.00 -1000.00 47.00 36.00 
148 148 30.00 0:00:00:04.934/1000 0:00:00:04.900/1000 728.52 282.16 277.54 216.62 -1000.00 -1000.00 47.00 37.00 
149 149 30.00 0:00:00:04.967/1000 0:00:00:04.934/1000 727.90 281.78 277.68 216.58 -1000.00 -1000.00 46.00 35.00 
150 149 30.00 0:00:00:05.00/1000 0:00:00:04.967/1000 696.83 286.42 284.54 218.96 -1000.00 -1000.00 40.00 63.00 
151 151 30.00 0:00:00:05.34/1000 0:00:00:05.00/1000 668.62 285.62 290.18 220.02 -1000.00 -1000.00 49.00 45.00 
152 152 30.00 0:00:00:05.67/1000 0:00:00:05.34/1000 673.69 279.28 289.13 218.64 -1000.00 -1000.00 47.00 42.00 
153 152 30.00 0:00:00:05.100/1000 0:00:00:05.67/1000 677.18 276.17 288.40 217.91 -1000.00 -1000.00 49.00 41.00 
154 154 30.00 0:00:00:05.134/1000 0:00:00:05.100/1000 681.47 272.58 287.51 217.05 -1000.00 -1000.00 49.00 43.00 
155 155 30.00 0:00:00:05.167/1000 0:00:00:05.134/1000 681.56 270.84 287.47 216.72 -1000.00 -1000.00 48.00 42.00 
156 155 30.00 0:00:00:05.200/1000 0:00:00:05.167/1000 683.22 268.27 287.11 216.16 -1000.00 -1000.00 53.00 46.00 
157 157 30.00 0:00:00:05.234/1000 0:00:00:05.200/1000 685.93 265.83 286.53 215.57 -1000.00 -1000.00 55.00 49.00 
158 158 30.00 0:00:00:05.267/1000 0:00:00:05.234/1000 685.97 266.07 286.52 215.61 -1000.00 -1000.00 54.00 48.00 
159 158 30.00 0:00:00:05.300/1000 0:00:00:05.267/1000 684.97 265.89 286.72 215.63 -1000.00 -1000.00 53.00 47.00 
160 160 30.00 0:00:00:05.334/1000 0:00:00:05.300/1000 682.20 265.72 287.28 215.73 -1000.00 -1000.00 50.00 43.00 
161 161 30.00 0:00:00:05.367/1000 0:00:00:05.334/1000 680.88 264.53 287.53 215.57 -1000.00 -1000.00 55.00 48.00 
162 161 30.00 0:00:00:05.400/1000 0:00:00:05.367/1000 680.59 262.41 287.56 215.19 -1000.00 -1000.00 54.00 48.00 
163 163 30.00 0:00:00:05.434/1000 0:00:00:05.400/1000 670.89 267.97 289.55 216.69 -1000.00 -1000.00 40.00 62.00 
164 164 30.00 0:00:00:05.467/1000 0:00:00:05.434/1000 668.50 271.51 290.05 217.45 -1000.00 -1000.00 47.00 43.00 
165 164 30.00 0:00:00:05.500/1000 0:00:00:05.467/1000 677.48 267.60 288.25 216.31 -1000.00 -1000.00 53.00 47.00 
166 166 30.00 0:00:00:05.534/1000 0:00:00:05.500/1000 677.86 270.96 288.21 216.91 -1000.00 -1000.00 45.00 40.00 
167 167 30.00 0:00:00:05.567/1000 0:00:00:05.534/1000 675.50 275.50 288.73 217.87 -1000.00 -1000.00 47.00 41.00 
168 167 30.00 0:00:00:05.600/1000 0:00:00:05.567/1000 678.63 274.25 288.10 217.49 -1000.00 -1000.00 51.00 46.00 
169 169 30.00 0:00:00:05.634/1000 0:00:00:05.600/1000 704.64 251.13 282.40 211.75 -1000.00 -1000.00 48.00 38.00 
170 170 30.00 0:00:00:05.667/1000 0:00:00:05.634/1000 727.34 231.84 276.98 206.45 -1000.00 -1000.00 48.00 39.00 
171 170 30.00 0:00:00:05.700/1000 0:00:00:05.667/1000 729.43 234.20 276.53 206.80 -1000.00 -1000.00 47.00 38.00 
172 172 30.00 0:00:00:05.734/1000 0:00:00:05.700/1000 729.59 236.10 276.53 207.18 -1000.00 -1000.00 45.00 36.00 
173 173 30.00 0:00:00:05.767/1000 0:00:00:05.734/1000 728.63 237.49 276.78 207.53 -1000.00 -1000.00 42.00 35.00 
174 173 30.00 0:00:00:05.800/1000 0:00:00:05.767/1000 728.97 239.58 276.73 207.94 -1000.00 -1000.00 44.00 36.00 
175 175 30.00 0:00:00:05.834/1000 0:00:00:05.800/1000 733.64 226.55 275.39 204.91 -1000.00 -1000.00 44.00 35.00 
176 176 30.00 0:00:00:05.867/1000 0:00:00:05.834/1000 748.93 126.49 269.61 181.32 -1000.00 -1000.00 58.00 41.00 
