record started at: 08-16-18 11:07:00

file format version: 4
captureMode: Offline
eye resolution: 640x480 scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
164 164 30.00 0:00:00:05.467/1000 0:00:00:05.434/1000 408.35 61.20 376.03 260.07 -1000.00 -1000.00 48.00 69.00 
165 164 30.00 0:00:00:05.500/1000 0:00:00:05.467/1000 408.64 61.22 375.91 260.06 -1000.00 -1000.00 48.00 68.00 
166 166 30.00 0:00:00:05.534/1000 0:00:00:05.500/1000 408.92 61.22 375.80 260.05 -1000.00 -1000.00 48.00 66.00 
167 167 30.00 0:00:00:05.567/1000 0:00:00:05.534/1000 408.85 61.49 375.80 260.16 -1000.00 -1000.00 48.00 66.00 
168 167 30.00 0:00:00:05.600/1000 0:00:00:05.567/1000 409.21 61.75 375.64 260.24 -1000.00 -1000.00 50.00 69.00 
169 169 30.00 0:00:00:05.634/1000 0:00:00:05.600/1000 409.82 62.00 375.37 260.31 -1000.00 -1000.00 49.00 68.00 
170 170 30.00 0:00:00:05.667/1000 0:00:00:05.634/1000 410.22 62.21 375.19 260.38 -1000.00 -1000.00 49.00 68.00 
171 170 30.00 0:00:00:05.700/1000 0:00:00:05.667/1000 410.56 62.13 375.06 260.33 -1000.00 -1000.00 49.00 68.00 
172 172 30.00 0:00:00:05.734/1000 0:00:00:05.700/1000 410.79 61.98 374.98 260.27 -1000.00 -1000.00 49.00 64.00 
173 173 30.00 0:00:00:05.767/1000 0:00:00:05.734/1000 411.25 62.00 374.79 260.26 -1000.00 -1000.00 48.00 68.00 
174 173 30.00 0:00:00:05.800/1000 0:00:00:05.767/1000 414.19 60.03 373.75 259.39 -1000.00 -1000.00 47.00 62.00 
175 175 30.00 0:00:00:05.834/1000 0:00:00:05.800/1000 426.69 43.35 369.93 252.46 -1000.00 -1000.00 55.00 57.00 
176 176 30.00 0:00:00:05.867/1000 0:00:00:05.834/1000 436.59 28.81 366.95 246.35 -1000.00 -1000.00 55.00 56.00 
177 176 30.00 0:00:00:05.900/1000 0:00:00:05.867/1000 437.02 28.33 366.80 246.14 -1000.00 -1000.00 61.00 56.00 
178 178 30.00 0:00:00:05.934/1000 0:00:00:05.900/1000 437.33 27.66 366.73 245.86 -1000.00 -1000.00 58.00 58.00 
179 179 30.00 0:00:00:05.967/1000 0:00:00:05.934/1000 437.24 27.02 366.82 245.61 -1000.00 -1000.00 53.00 55.00 
180 179 30.00 0:00:00:06.00/1000 0:00:00:05.967/1000 437.13 26.07 366.94 245.24 -1000.00 -1000.00 52.00 55.00 
181 181 30.00 0:00:00:06.34/1000 0:00:00:06.00/1000 437.20 25.08 366.99 244.85 -1000.00 -1000.00 54.00 54.00 
182 182 30.00 0:00:00:06.67/1000 0:00:00:06.34/1000 437.14 23.89 367.11 244.39 -1000.00 -1000.00 51.00 53.00 
183 182 30.00 0:00:00:06.100/1000 0:00:00:06.67/1000 443.41 21.22 364.67 243.02 -1000.00 -1000.00 60.00 55.00 
184 184 30.00 0:00:00:06.134/1000 0:00:00:06.100/1000 458.64 14.40 358.70 239.54 -1000.00 -1000.00 63.00 57.00 
185 185 30.00 0:00:00:06.167/1000 0:00:00:06.134/1000 467.03 9.06 355.48 236.95 -1000.00 -1000.00 63.00 57.00 
186 185 30.00 0:00:00:06.200/1000 0:00:00:06.167/1000 466.87 7.87 355.64 236.48 -1000.00 -1000.00 63.00 57.00 
